GUID,UN LOCODE,Latitude,Longitude,Mile,Facility Type,Official Name,Port Name,Waterway Name
0DQQ,RAE,33.82592,-91.05678,587,Mile point,MILE 587  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0JEA,NMB,33.82958,-78.69699,350,Dock,BAREFOOT LANDING,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0FG2,AEK,33.829726,-88.519769,357,Lock and/or Dam,ABERDEEN LOCK & DAM,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0J8P,SS5,33.829951,-80.922642,35,,SANDY-RUN CREEK,Congaree River SC,Congaree River SC
0JJ8,AEK,33.837286,-88.521875,358,Mile point,MILE 358  TTWTY,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0DU9,RAE,33.83839,-91.06554,588,Mile point,MILE 588  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0K3C,JHV,33.842054,-79.349123,65,,BRIAR LANDING,Great Pee Dee River SC,Great Pee Dee River SC
03V5,RBD,33.84279,-118.38887,0,Dock,KING HARBOR,Redondo Beach CA,Redondo Beach CA
0JE9,LR3,33.843857,-78.666839,348,,BRIAR CLIFF MARINA,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0JEP,LR3,33.843857,-78.666839,348,,MARINA,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0JES,NMB,33.848753,-78.546091,1,,ATLANTIC OCEAN-OPP LITTLE RIVER INLET,Atlantic Ocean - Opposite Little River Inlet SC,Atlantic Ocean - Opposite Little River Inlet SC
0J8N,GAT,33.850806,-80.989332,40,,CALHOUN-LEXINGTON COUNTY LINE,Congaree River SC,Congaree River SC
0JJ9,AEK,33.851362,-88.524656,359,Mile point,MILE 359  TTWTY,Tennessee Tombigbee Waterway,Tennessee Tombigbee Waterway
0DUA,RAE,33.85251,-91.06634,589,Mile point,MILE 589  LOWER MISS RIVER,Mississippi River Mouth of Ohio River to Baton Rouge LA,Mississippi River Mouth of Ohio River to Baton Rouge LA
0J9P,NMB,33.853379,-78.653754,347,,BELLAMY'S LANDING,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
0JEQ,NMB,33.853379,-78.653754,347,,NIXON LANDING,Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District),Atlantic Intracoastal Waterway between Norfolk VA and the St. Johns River FL (Charleston District)
